"Name","Category","Description","	Selling Price","Cost Price","MFG Date","Expiry Date	","","","","","","","","",""
"46","13","Cottage cheese cubes marinated in yogurt, spices, and grilled or roasted to perfection, giving a smoky and flavorful taste.","210","170","2025-04-03","2025-04-10","","","","","","","","",""
"47","13","Made with spinach, green peas, and potatoes, blended with aromatic spices and shallow-fried until crispy. It is served with mint chutney for a flavorful bite.","200","150","2025-04-03","2025-04-10","","","","","","","","",""
"48","13","A crispy fried or roasted papad (thin lentil cracker) topped with a tangy mixture of onions, tomatoes, coriander, and spices, served as a crunchy snack.","75","	45","2025-04-03","2025-04-10","","","","","","","","",""
"49","13","Deep-fried crispy corn kernels tossed with chaat masala, lemon juice, onions, and coriander for a crunchy, tangy appetizer.","190","150","2025-04-03","2025-04-10","","","","","","","","",""
"50","13","Drinks","240","200","2025-04-03","2025-04-10","","","","","","","","",""
"51","13","Mushroom caps filled with a delicious stuffing of cheese, herbs, garlic, and breadcrumbs, then baked or grilled for a rich and cheesy bite.","280","220","2025-04-03","2025-04-10","","","","","","","","",""
"52","13","Colorful bell peppers filled with a savory stuffing of cheese, mashed potatoes, or spiced vegetables, then baked or roasted until tender.","250","210","2025-04-03","2025-04-10","","","","","","","","",""
"53","14","A rich and velvety soup made with ripe tomatoes, fresh basil, and a touch of garlic, slow-cooked to perfection. Blended until smooth and a hint of cream for a silky texture","230","170","2025-04-03","2025-04-10","","","","","","","","",""
"54","14","A spicy and tangy Indo-Chinese soup made with finely chopped vegetables like carrots, cabbage, and bell peppers, cooked in a flavorful soy-based broth with garlic, ginger, and green chilies.","245","190","2025-04-03","2025-04-10","","","","","","","","",""
"55","14","A light and comforting soup with sweet corn, carrots, and spring onions in a flavorful broth.","230","150","2025-04-03","2025-04-10","","","","","","","","",""
"56","14","A rich and earthy soup made with sautéed mushrooms, fresh thyme, and a touch of cream","290","200","2025-04-03","2025-04-10","","","","","","","","",""
"57","15","Soft paneer cubes cooked in a creamy tomato-based gravy with butter and aromatic Indian spices.","220","170","2025-04-03","2025-04-11","","","","","","","","",""
"58","15","A fragrant coconut-based Thai curry with fresh vegetables, tofu, and Thai herbs, served with jasmine rice.","250","200","2025-04-03","2025-04-10","","","","","","","","",""
"59","15","A creamy Italian rice dish cooked with Arborio rice, mushrooms, garlic, and Parmesan cheese.","260","210","2025-04-03","2025-04-11","","","","","","","","",""
"60","15","A rich and creamy North Indian lentil dish made with slow-cooked black lentils (urad dal) and kidney beans (rajma), simmered in a buttery tomato-based gravy.	Naman shah-Divine Meal","290","230","2025-04-03","2025-04-10","","","","","","","","",""
"61","16","A classic pizza topped with tomato sauce, fresh mozzarella, and basil, drizzled with olive oil.","210","150","2025-04-03","2025-04-10","","","","","","","","",""
"62","16","A gourmet pizza with fresh spinach, ricotta cheese, and a sprinkle of garlic and chili flakes.","270","210","2025-04-03","2025-04-10","","","","","","","","",""
"63","17","A delicious coffee-flavored Italian dessert made with layers of mascarpone cheese and soaked biscuits.","240","180","2025-04-03","2025-04-11","","","","","","","","",""
"64","17","Soft, spongy cheese dumplings soaked in saffron-infused milk, garnished with pistachios.","265","180","2025-04-03","2025-04-11","","","","","","","","",""
