"Name","Category","Description","	Selling Price","Cost Price","MFG Date","Expiry Date	","active","image","","","","","","",""
"65","17","A rich and fudgy brownie served warm with a scoop of vanilla ice cream.","220","150","2025-04-03","2025-04-10","true","brownie-with-vanilla-icecream.jpg
","","","","","","",""
"66","18","A zesty and refreshing blend of fresh mint, lemon juice, and soda.","190","140","2025-04-03","2025-04-10","true","Mint-Cooler.jpg ","","","","","","",""
"68","18","A refreshing and mildly sweet drink made with brewed black tea infused with fresh peach puree or peach syrup. Lightly sweetened with honey.","250","180","2025-04-03","2025-04-10","true","peach-tea-2.webp ","","","","","","",""
"69","18","A healthy and delicious smoothie blended with strawberries, blueberries, and yogurt.","300","200","2025-04-03","2025-04-10","true","Mixed-Berry-Smoothie-Recipe-3.jpg ","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
